transaction_id,date,amount,transaction_type,status
TXN000247,2024-06-29,5648,incoming,unsuccessful
TXN000248,2023-10-16,17099,incoming,normal
TXN000249,2021-11-21,15608,incoming,normal
TXN000250,2024-03-30,1965,incoming,normal
TXN000251,2022-11-11,13241,incoming,normal
TXN000252,2024-05-15,18013,outgoing,normal
TXN000253,2023-07-17,2363,incoming,normal
TXN000254,2023-05-21,13012,outgoing,normal
TXN000255,2021-04-16,2597,incoming,normal
TXN000256,2022-03-18,16686,outgoing,normal
TXN000257,2024-09-30,2984,incoming,normal
TXN000258,2023-11-01,15102,outgoing,normal
TXN000259,2024-11-23,10108,outgoing,normal
TXN000260,2025-12-15,8879,outgoing,normal
TXN000261,2022-12-23,1918,outgoing,normal
TXN000262,2023-07-16,7754,incoming,normal
TXN000263,2025-11-11,9833,incoming,normal
TXN000264,2022-01-20,4565,outgoing,normal
TXN000265,2025-04-01,13582,outgoing,normal
TXN000266,2026-01-06,8664,incoming,normal
TXN000267,2022-05-06,8372,incoming,normal
TXN000268,2024-09-04,5368,incoming,normal
TXN000269,2021-07-22,3254,incoming,normal
TXN000270,2024-02-21,949,incoming,normal
TXN000271,2023-05-22,13470,outgoing,normal
TXN000272,2025-11-12,12683,incoming,normal
TXN000273,2023-10-19,1846,outgoing,normal
TXN000274,2024-09-04,12907,outgoing,normal
TXN000275,2023-01-07,19193,outgoing,normal
TXN000276,2022-06-30,4013,outgoing,normal
TXN000277,2022-02-01,6999,incoming,normal
TXN000278,2025-10-10,1355,incoming,normal
TXN000279,2025-04-05,17577,outgoing,normal
TXN000280,2023-06-10,4477,incoming,normal
TXN000281,2025-08-05,19677,outgoing,normal
TXN000282,2023-08-17,921,outgoing,normal
TXN000283,2022-08-23,12403,outgoing,normal
TXN000284,2025-08-21,8093,incoming,normal
TXN000285,2022-03-22,15252,incoming,normal
TXN000286,2025-09-02,16070,incoming,normal
TXN000287,2025-10-17,12075,incoming,normal
TXN000288,2023-04-22,14352,outgoing,normal
TXN000289,2021-10-19,9901,outgoing,normal
TXN000290,2022-09-05,17940,outgoing,normal
TXN000291,2023-08-15,2896,outgoing,normal
TXN000292,2023-11-17,1734,outgoing,normal
TXN000293,2025-04-19,18013,incoming,normal
TXN000294,2023-01-23,16179,outgoing,normal
TXN000295,2023-05-26,3158,outgoing,normal
TXN000296,2021-01-04,10422,outgoing,unsuccessful
TXN000297,2025-10-19,9810,outgoing,normal
TXN000298,2023-05-16,1668,incoming,normal
TXN000299,2021-03-30,10386,incoming,normal
TXN000300,2025-10-24,13572,incoming,normal
TXN000301,2024-05-03,12625,incoming,normal
TXN000302,2023-12-01,18452,outgoing,normal
TXN000303,2024-04-18,15644,incoming,normal
TXN000304,2021-06-08,9892,incoming,normal
TXN000305,2021-07-28,9240,incoming,normal
TXN000306,2024-09-24,17609,incoming,normal
TXN000307,2025-06-19,7857,outgoing,normal
TXN000308,2024-09-20,9141,incoming,normal
TXN000309,2022-11-14,14367,outgoing,normal
TXN000310,2022-10-24,11087,outgoing,unsuccessful
TXN000311,2021-03-11,1136,incoming,normal
TXN000312,2023-08-10,6317,incoming,normal
TXN000313,2021-09-08,12217,incoming,normal
TXN000314,2024-11-05,6910,incoming,normal
TXN000315,2021-06-28,938,incoming,normal
TXN000316,2021-02-26,14873,outgoing,normal
TXN000317,2023-07-17,16068,outgoing,normal
TXN000318,2023-11-02,10086,outgoing,normal
TXN000319,2025-06-01,9336,outgoing,normal
TXN000320,2024-07-20,5882,outgoing,normal
TXN000321,2025-08-20,3794,outgoing,normal
TXN000322,2023-09-13,13889,outgoing,normal
TXN000323,2024-06-11,14657,outgoing,unsuccessful
TXN000324,2021-03-14,19604,incoming,normal
TXN000325,2023-06-18,18629,incoming,normal
TXN000326,2024-07-07,7793,outgoing,normal
TXN000327,2023-03-08,17041,outgoing,normal
TXN000328,2024-07-05,9167,incoming,normal
TXN000329,2025-04-20,16821,outgoing,normal
TXN000330,2024-07-11,14060,incoming,normal
TXN000331,2021-08-19,18010,incoming,unsuccessful
TXN000332,2024-07-02,5399,outgoing,unsuccessful
TXN000333,2024-05-29,7590,outgoing,normal
TXN000334,2025-11-11,5581,incoming,normal
TXN000335,2021-10-24,16286,incoming,normal
TXN000336,2024-01-22,5646,incoming,normal
TXN000337,2023-04-18,19929,incoming,normal
TXN000338,2025-04-27,11302,outgoing,normal
TXN000339,2024-02-12,7221,incoming,unsuccessful
TXN000340,2025-08-22,4764,incoming,normal
TXN000341,2025-10-05,5112,outgoing,normal
TXN000342,2025-06-11,3319,outgoing,normal
TXN000343,2025-08-15,6343,outgoing,normal
TXN000344,2023-10-28,2143,outgoing,normal
TXN000345,2023-12-17,2334,outgoing,normal
TXN000346,2021-07-17,19328,incoming,normal
TXN000347,2025-07-01,14931,outgoing,normal
TXN000348,2024-09-06,14938,outgoing,normal
TXN000349,2025-11-15,14219,incoming,normal
TXN000350,2022-11-12,1081,outgoing,normal
TXN000351,2023-07-13,18389,outgoing,normal
TXN000352,2021-08-05,17916,outgoing,normal
TXN000353,2021-09-26,12978,outgoing,normal
TXN000354,2024-04-12,5676,outgoing,normal
TXN000355,2022-05-08,4723,incoming,normal
TXN000356,2021-12-08,12972,outgoing,normal
TXN000357,2023-01-20,19288,incoming,normal
TXN000358,2024-07-04,4744,incoming,normal
TXN000359,2022-01-27,17063,outgoing,normal
TXN000360,2021-10-19,19294,incoming,normal
TXN000361,2025-01-02,9023,outgoing,normal
TXN000362,2024-09-10,8741,outgoing,normal
TXN000363,2021-08-09,12094,outgoing,normal
TXN000364,2021-01-17,16212,incoming,normal
TXN000365,2024-09-03,12128,incoming,normal
TXN000366,2021-03-05,13062,incoming,normal
TXN000367,2024-02-02,10175,outgoing,normal
TXN000368,2025-09-13,17778,incoming,normal
TXN000369,2024-10-10,10110,incoming,unsuccessful
TXN000370,2023-03-13,9094,incoming,normal
TXN000371,2023-12-31,5880,outgoing,normal
TXN000372,2025-05-05,19954,incoming,unsuccessful
TXN000373,2021-03-09,5993,outgoing,normal
TXN000374,2023-12-30,10533,incoming,normal
TXN000375,2024-07-28,1583,incoming,normal
TXN000376,2024-08-09,9727,incoming,normal
TXN000377,2021-07-13,8230,outgoing,unsuccessful
TXN000378,2024-05-16,16363,outgoing,normal
TXN000379,2026-01-22,14238,incoming,normal
TXN000380,2024-02-19,6808,incoming,normal
TXN000381,2021-11-15,9570,outgoing,normal
TXN000382,2025-11-11,18645,outgoing,normal
TXN000383,2025-06-08,3430,incoming,normal
TXN000384,2021-10-05,9878,incoming,normal
TXN000385,2024-11-05,4579,outgoing,normal
TXN000386,2021-06-11,1965,outgoing,normal
TXN000387,2024-01-22,17683,outgoing,normal
TXN000388,2023-11-04,15745,incoming,normal
TXN000389,2025-12-12,7067,incoming,normal
TXN000390,2022-07-06,6959,incoming,normal
TXN000391,2021-04-17,5901,incoming,normal
TXN000392,2021-04-21,7057,outgoing,normal
TXN000393,2021-08-05,10155,incoming,normal
TXN000394,2021-05-31,7423,incoming,normal
TXN000395,2025-07-17,9050,outgoing,normal
TXN000396,2025-04-08,18612,outgoing,normal
TXN000397,2023-03-06,18899,outgoing,normal
TXN000398,2024-09-28,14340,incoming,normal
TXN000399,2022-11-18,3012,outgoing,normal
TXN000400,2021-05-31,687,incoming,normal
TXN000401,2024-11-06,13352,incoming,normal
TXN000402,2023-05-29,15367,outgoing,normal
TXN000403,2025-02-12,17428,incoming,normal
TXN000404,2021-06-04,3542,outgoing,normal
TXN000405,2021-04-13,2281,outgoing,normal
TXN000406,2023-12-06,16967,incoming,unsuccessful
TXN000407,2023-04-04,3696,incoming,normal
TXN000408,2021-01-26,4983,outgoing,normal
TXN000409,2023-08-30,17041,incoming,normal
TXN000410,2022-08-01,8993,incoming,unsuccessful
TXN000411,2023-07-04,14446,incoming,normal
TXN000412,2023-07-17,6806,incoming,normal
TXN000413,2022-11-27,10102,incoming,normal
TXN000414,2026-01-20,9277,incoming,normal
TXN000415,2021-08-18,12436,incoming,normal
TXN000416,2021-03-05,18941,incoming,normal
TXN000417,2022-07-11,6259,outgoing,normal
TXN000418,2026-01-25,7581,outgoing,normal
TXN000419,2024-06-20,4796,incoming,normal
TXN000420,2022-01-19,2202,outgoing,normal
TXN000421,2022-11-09,3541,incoming,normal
TXN000422,2022-07-31,9366,outgoing,normal
TXN000423,2021-09-23,12502,incoming,normal
TXN000424,2025-07-17,10182,outgoing,normal
TXN000425,2023-11-28,16146,outgoing,normal
TXN000426,2025-01-07,5960,incoming,normal
TXN000427,2023-08-31,17140,outgoing,unsuccessful
TXN000428,2023-01-24,17577,incoming,normal
TXN000429,2021-05-19,19182,incoming,normal
TXN000430,2024-07-28,11665,outgoing,normal
TXN000431,2022-01-08,16027,incoming,normal
TXN000432,2025-09-07,12422,outgoing,normal
TXN000433,2025-07-20,9295,outgoing,normal
TXN000434,2021-04-26,13642,incoming,normal
TXN000435,2024-04-27,5615,outgoing,unsuccessful
TXN000436,2025-11-20,13020,incoming,normal
TXN000437,2025-09-17,17667,incoming,normal
TXN000438,2025-03-11,8341,outgoing,normal
TXN000439,2023-09-16,14493,outgoing,normal
TXN000440,2025-04-30,12329,incoming,normal
TXN000441,2021-03-13,11121,incoming,normal
TXN000442,2024-12-09,19282,incoming,normal
TXN000443,2025-04-07,11398,incoming,normal
TXN000444,2025-12-27,5264,incoming,normal
TXN000445,2024-06-15,2709,outgoing,normal
TXN000446,2021-03-18,16745,outgoing,normal
TXN000447,2023-10-03,2322,incoming,unsuccessful
TXN000448,2021-11-27,6250,incoming,normal
TXN000449,2024-07-19,16698,incoming,normal
TXN000450,2021-09-06,4075,outgoing,normal
TXN000451,2022-03-08,7453,incoming,normal
TXN000452,2025-11-17,13190,outgoing,normal
TXN000453,2022-09-04,6809,outgoing,normal
TXN000454,2024-09-21,2166,incoming,normal
TXN000455,2024-02-11,12862,outgoing,normal
TXN000456,2023-04-02,17709,incoming,normal
TXN000457,2026-01-12,9493,outgoing,normal
TXN000458,2022-10-13,8120,outgoing,normal
TXN000459,2026-01-26,1975,incoming,normal
TXN000460,2022-10-14,9009,incoming,normal
TXN000461,2022-04-09,14441,incoming,normal
TXN000462,2023-10-01,7947,incoming,normal
TXN000463,2022-04-04,12912,incoming,normal
TXN000464,2025-01-05,15913,outgoing,unsuccessful
TXN000465,2024-10-28,17315,outgoing,normal
TXN000466,2024-02-09,4098,outgoing,normal
TXN000467,2023-04-13,11687,incoming,normal
TXN000468,2021-10-01,18724,outgoing,normal
TXN000469,2023-07-10,12391,incoming,normal
TXN000470,2024-11-30,15784,outgoing,normal
TXN000471,2024-11-09,11963,incoming,normal
TXN000472,2024-03-06,1569,outgoing,normal
TXN000473,2023-02-03,11312,outgoing,normal
TXN000474,2022-04-11,9598,incoming,normal
TXN000475,2025-11-23,5885,incoming,normal
TXN000476,2023-07-10,5051,outgoing,normal
TXN000477,2023-03-11,19610,incoming,normal
TXN000478,2021-12-01,18301,incoming,normal
TXN000479,2024-10-31,5271,outgoing,normal
TXN000480,2024-08-14,9332,outgoing,normal
TXN000481,2025-01-28,16536,outgoing,unsuccessful
TXN000482,2021-11-29,10303,outgoing,normal
TXN000483,2021-03-23,3037,incoming,normal
TXN000484,2024-04-12,16777,incoming,normal
TXN000485,2022-10-10,3594,outgoing,normal
TXN000486,2024-10-28,17308,incoming,normal
TXN000487,2025-05-12,13485,incoming,normal
TXN000488,2023-08-05,17996,incoming,normal
TXN000489,2023-02-19,1509,outgoing,normal
TXN000490,2024-06-10,18026,incoming,normal
TXN000491,2022-07-07,7920,incoming,normal
TXN000492,2023-08-30,9744,outgoing,normal
TXN000493,2025-09-05,12941,outgoing,normal
TXN000494,2022-03-30,10551,outgoing,normal
TXN000495,2024-02-29,4334,incoming,normal
TXN000496,2024-02-13,5596,incoming,unsuccessful
TXN000497,2025-08-27,17071,incoming,normal
TXN000498,2022-12-05,10717,outgoing,normal
TXN000499,2022-07-23,14218,incoming,normal
TXN000500,2021-07-01,7614,outgoing,normal
TXN000501,2022-09-04,16396,incoming,normal
TXN000502,2024-09-10,19609,outgoing,normal
TXN000503,2025-02-19,4559,outgoing,normal
TXN000504,2024-10-23,10030,incoming,normal
TXN000505,2022-12-28,4487,incoming,normal
TXN000506,2023-10-05,6786,incoming,unsuccessful
TXN000507,2025-02-12,4226,outgoing,unsuccessful
TXN000508,2023-09-04,2185,incoming,normal
TXN000509,2024-07-24,8696,incoming,normal
TXN000510,2023-05-24,16552,incoming,unsuccessful
TXN000511,2025-08-24,3849,outgoing,normal
TXN000512,2021-03-18,12820,outgoing,normal
TXN000513,2026-02-06,14743,incoming,normal
TXN000514,2025-03-09,7577,outgoing,normal
TXN000515,2021-08-29,2223,incoming,normal
TXN000516,2022-06-17,14332,outgoing,unsuccessful
TXN000517,2023-09-20,4188,incoming,unsuccessful
TXN000518,2025-06-27,13650,incoming,normal
TXN000519,2022-09-06,8720,outgoing,normal
TXN000520,2023-02-24,3936,incoming,normal
TXN000521,2023-09-28,6771,incoming,normal
TXN000522,2021-01-21,2427,outgoing,normal
TXN000523,2025-03-17,8001,outgoing,normal
TXN000524,2021-09-25,18589,outgoing,normal
TXN000525,2025-10-06,2645,outgoing,normal
TXN000526,2023-12-06,18747,outgoing,normal
TXN000527,2022-02-19,8817,outgoing,normal
TXN000528,2025-04-22,9167,incoming,normal
TXN000529,2025-06-13,11464,incoming,normal
TXN000530,2022-07-29,13098,incoming,normal
TXN000531,2021-11-29,11040,outgoing,normal
TXN000532,2023-01-03,17342,outgoing,normal
TXN000533,2024-07-23,13794,outgoing,normal
TXN000534,2021-09-17,11559,incoming,normal
TXN000535,2025-05-07,19182,outgoing,normal
TXN000536,2025-12-11,11275,outgoing,normal
TXN000537,2021-11-11,4579,outgoing,normal
TXN000538,2024-06-25,12525,outgoing,normal
TXN000539,2024-08-15,7761,incoming,normal
TXN000540,2025-08-09,11992,outgoing,normal
TXN000541,2026-02-12,5547,incoming,normal
TXN000542,2023-06-24,11157,outgoing,normal
TXN000543,2024-02-26,7633,incoming,normal
TXN000544,2022-09-07,8856,outgoing,normal
TXN000545,2023-08-26,1819,incoming,normal
TXN000546,2023-02-26,10492,incoming,normal
TXN000547,2024-09-01,8374,incoming,normal
TXN000548,2023-07-09,8379,incoming,normal
TXN000549,2022-12-23,13494,incoming,normal
TXN000550,2022-07-03,15360,outgoing,normal
TXN000551,2021-10-15,1662,incoming,normal
TXN000552,2023-11-08,8208,outgoing,normal
TXN000553,2024-04-27,3108,incoming,unsuccessful
TXN000554,2022-01-25,6520,outgoing,normal
TXN000555,2025-05-31,7237,outgoing,normal
TXN000556,2022-06-18,3142,incoming,normal
TXN000557,2023-12-02,15296,incoming,normal
TXN000558,2021-10-03,14482,outgoing,normal
TXN000559,2022-11-06,11716,incoming,normal
TXN000560,2024-11-23,11792,outgoing,normal
TXN000561,2025-07-14,7614,incoming,normal
TXN000562,2024-08-01,19354,incoming,normal
TXN000563,2025-11-01,13348,outgoing,normal
TXN000564,2024-12-23,5950,incoming,normal
TXN000565,2023-06-14,13663,outgoing,normal
TXN000566,2023-05-08,15304,outgoing,normal
TXN000567,2023-03-12,16329,incoming,normal
TXN000568,2023-08-31,14721,outgoing,normal
TXN000569,2022-01-31,6982,outgoing,normal
TXN000570,2024-11-10,11287,outgoing,unsuccessful
TXN000571,2022-10-02,1893,incoming,normal
TXN000572,2025-05-28,15522,incoming,normal
TXN000573,2022-10-28,4991,outgoing,normal
TXN000574,2022-08-09,11438,outgoing,normal
TXN000575,2023-05-30,3358,incoming,normal
TXN000576,2025-12-04,6599,outgoing,normal
TXN000577,2023-04-15,15985,incoming,normal
TXN000578,2022-07-05,17715,incoming,normal
TXN000579,2024-08-27,2684,outgoing,normal
TXN000580,2023-09-30,3949,incoming,normal
TXN000581,2024-04-02,12352,outgoing,normal
TXN000582,2022-06-17,10098,incoming,normal
TXN000583,2024-07-21,16910,outgoing,normal
TXN000584,2021-05-24,3176,incoming,normal
TXN000585,2024-06-24,4320,outgoing,normal
TXN000586,2024-06-02,19182,incoming,normal
TXN000587,2025-11-16,6420,incoming,normal
